magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
68.0 1.78099958818 3.78106209316 3.70752794095 14.3465600202 7.92403723669 13.1648826595 18.4461982046 18.8013445212 5.66216757788 17.2944058991 70.8934916146 8.93905899769 10.3831002294 43.6631157671 9.29386508875 6.77165917196 9.65241430977 5.25320527179 9.40158954877 12.0734412664 5.74187576041 21.1255139553 16.2091777757 4.20434989365 28.87232418
69.0 1.72714119104 3.66493527329 3.59539425897 13.9208234279 7.6879498261 12.7925288258 17.8908682309 18.257944202 5.48554497783 16.7942692141 68.9222823753 8.66712580402 10.0769467938 42.3910953096 9.02032509525 6.56806356446 9.37270281258 5.0934718173 9.13345315144 11.709533779 5.5692730774 20.5133032511 15.8014603037 4.07807016661 28.0801152615
70.0 1.67551492854 3.5535969599 3.48786608943 13.5131246948 7.46152534043 12.4354078443 17.3590387488 17.7372774584 5.31629863669 16.3153060916 67.0358853131 8.40664245426 9.78331729163 41.173974803 8.75805889629 6.37287888186 9.10476509197 4.94020616757 8.87638660845 11.3608380887 5.40382855472 19.9269683252 15.4087089186 3.9569122882 27.3205638942
71.0 1.62600065755 3.44679288089 3.3846983054 13.1224652813 7.24424987995 12.0926978193 16.849418131 17.238098378 5.15403362703 15.8563373437 65.2294858305 8.1569838899 9.50154440838 40.0086602511 8.50645956091 6.1856543434 8.8479503205 4.79307170972 8.62978690552 11.0265289261 5.24515644335 19.3650729311 15.0301833051 3.84060730466 26.5918845021
72.0 1.57848624862 3.34428546457 3.28566196291 12.7479148271 7.03564341952 11.7636319014 16.3608021233 16.7592452718 4.99838106848 15.4162648973 63.4986056513 7.91756713995 9.2310048831 38.8922713695 8.26496064497 6.00596905702 8.60165210628 4.65175353123 8.39309180206 10.7058362797 5.09289672045 18.8262792141 14.6651895071 3.72890380206 25.8924125163
73.0 1.53286694785 3.24585252897 3.19054302313 12.3886056301 6.83525714194 11.4474938954 15.8920668387 16.2996339247 4.84899608111 14.9940651779 61.839075088 7.68784795258 8.97111603916 37.8221241895 8.03303297191 5.83342965634 8.36530489385 4.51595674401 8.16577654777 10.3980409967 4.94671304408 18.3093397218 14.3130764171 3.6215665356 25.2205946323
74.0 1.48904479763 3.15128609072 3.09914119186 12.0437276404 6.64267101498 11.1436142741 15.4421623991 15.858251469 4.70555592526 14.5887831154 60.2470079347 7.46731773841 8.72133263155 36.7957152855 7.81018170994 5.66766815428 8.13838070122 4.38540495917 7.94735090511 10.1024707879 4.80629089623 17.8130901606 13.9732325766 3.51837518374 24.5749799737
75.0 1.44692811027 3.06039128104 3.01126886393 11.7125239161 6.45749158674 10.8513665549 15.0101071575 15.4341508171 4.56775830874 14.1995267049 58.7187787055 7.25550079295 8.48114397817 35.810707457 7.59594371483 5.5083399907 7.92038615767 4.25983889723 7.73735644529 9.81849659625 4.67133589469 17.336442823 13.6450832561 3.41912321407 23.954212065
76.0 1.40643098882 2.9729853579 2.92675016203 11.3942864926 6.2793499771 10.5701640021 14.5949824405 15.0264455946 4.43531984403 13.8254620666 57.2510019715 7.05195176912 8.2500713462 34.8649167137 7.3898851109 5.35512225421 7.71085981095 4.13901512 7.53536408937 9.54552929101 4.54157225627 16.8783806123 13.3280877859 3.32361684951 23.3570215309
77.0 1.36747289048 2.88889680477 2.84542005998 11.088352622 6.10790004537 10.2994566216 14.1959277589 14.634305524 4.30797464056 13.4658089518 55.8405135795 6.85625337454 8.02766556764 33.9563004304 7.19159908599 5.20771206049 7.50936967619 4.02270487193 7.34097186934 9.28301665386 4.41674139597 16.4379516061 13.0217371155 3.23167412481 22.7822194477
